# Bengali Bi-gram Next-Word Dataset (Antecedent -> Predicted Next Words)
অ	রিলেশনাল,বিভাগীয়,বিষাক্ত,চৌম্বকীয়,আ
স্পন্দনশীল	রঙ,এবং,মেঘ,জুয়েল,কমলা
স্পন্দনের	ধারা,ফ্রিকোয়েন্সি,সাথে
স্পন্দিত	হয়,হত্তয়া,হতে,হওয়ার,হয়েছিল
স্পর্শ	করে,যোগ,করা,না,করার
স্পর্শক	বা,ঢাল,রেখার,এবং
স্পর্শকাতর	চলচ্চিত্র,উপায়,এবং,প্রতিক্রিয়া,তথ্য
স্পর্শকীয়	বলের,বল
স্পর্শহীন	প্রযুক্তির,স্মার্ট
স্পর্শে	নরম,একটি,দৃঢ়,আনন্দদায়ক,প্রস্তুত
স্পর্শের	জন্য,অভাব,সাথে,প্রয়োজন,মাধ্যমে
স্পর্ষ	নিয়ন্ত্রিত,দিয়ে,প্রদর্শনী
স্পষ্ট	এবং,যে,হয়ে,লক্ষ্য,নয়
স্পষ্টত	নতুন,হত্যা
স্পষ্টতই	ইতিবাচক,স্বাস্থ্যসেবা,অগ্রাধিকার,কাউকে,পারস্যের
স্পষ্টতা	এবং,প্রদানের,প্রদান,বজায়,যোগ
স্পষ্টতার	জন্য,সাথে
স্পষ্টবাদী	হন,উকিল,এই,ও
স্পষ্টভাবে	সংজ্ঞায়িত,প্রোগ্রাম,এবং,প্রকাশ,যোগাযোগ
স্পষ্টভাষী	মিডিয়া,বিরোধী
স্পষ্টীকরণ	প্রদান,এবং,না,তথ্য,প্রদানের
স্পষ্টীকরণের	জন্য,প্রয়োজন,উদ্দেশ্যে,সন্ধান
স্পা	দিন,চিকিত্সা,রিসর্টের,ডে,এবং
স্পাই	এবং,গিয়ার,ক্যাম,ক্যামকে
স্পাইক	এবং,দেয়,পিট,এয়ারেটর,রোলার
স্পাইককে	নির্মূল,একা,এমন
স্পাইকের	সাথে,অতীত,কৃত্রিম,বিপরীতে,একটি
স্পাইডার	ম্যান,প্ল্যান্ট,নামেও
স্পাইস	অ্যান্ড,গার্লস,গার্লও
স্পার্ক	এসকিউএল,তৈরি,বা,প্লাগ,গ্যাপ
স্পার্কলস	নামে,একটি,জাদুকরী,পরীদের,পরীর
স্পার্কলসকে	উন্মুক্ত,বলেছিল
স্পার্কি	নামের,চ্যালেঞ্জ,এবং,একটি
স্পার্কের	মতো,ন্যায়
স্পার্টা	এবং,লোক
স্পার্টার	রাজা,ক্রীতিদাস
স্পার্স	মডেল,মডেলের,ম্যাট্রিক্স,ল্যাবস
স্পিকার	এবং,তাদের,অন্য,খুঁজুন,তার
স্পিকারকে	গুরুত্বপূর্ণ,সুযোগ,আবেগ
স্পিকারগুলিকে	স্বয়ংক্রিয়,ধরে
স্পিকারদের	সাথে,সর্বাধিক
স্পিকারের	প্রতি,মাধ্যমে,দুটি,সাথে,মধ্যে
স্পিচ	রিকগনিশন,রিকগনিশনের,সংশ্লেষণ,চিনতে,আউটপুটের
স্পিটজার	মহাকাশ,এইরূপ,যে
স্পিড	রেল,রিডার,ট্রেন,বাম্প,অপ্টিমাইজ
স্পিডওয়ে	তে,একটি
স্পিন	তৈরি,করুন,করা,বা,রেখেছিল
স্পিনার	হিসাবে,বোলারদের
স্পিন্ডল	ফাইবারগুলি,যন্ত্রপাতি,গঠন,ফাইবার,লেদ
স্পিন্ডেল	ফাইবার,ফাইবারগুলি,ফাইবারগুলিকে
স্পিরিট	ও,পুরস্কার,তৈরি,ওয়ার্ল্ড,এবং
স্পিলওয়ে	রাখা,প্রতি
স্পিলবার্গ	পরিচালিত,দ্বারা
স্পিলবার্গের	দৃষ্টিভঙ্গি,ফিল্মটির,ছবিতে
স্পিসিস	প্রকাশ
স্পিৎসারের	কাগজ
স্পীকার	সেটি,সেটিকে,সংসদে,ও,নির্বাচিত
স্পীচ	রিকগনিশন,এবং
স্পীড	স্বয়ংক্রিয়,বোট,কেবিপিএস
স্পুটনিক	উৎক্ষেপণ,ঘ,প্রোগ্রামের,তার,সংকটকে
স্পেইনদেশীয়	পোতবিশেষ,ভদ্রলোক
স্পেইনের	জাতীয়,ছাগচর্ম,রাষ্ট্র্রপরিষৎ
স্পেইন্দেশীয়	মন্থ
স্পেকট্রাম	ডিসঅর্ডার,সানস্ক্রিন,ডিসঅর্ডারের
স্পেকট্রামের	উষ্ণ,সমস্ত,প্রতিটি
স্পেন	এবং,ও,থেকে,অন্তর্ভুক্ত,একটি
স্পেনীয়	ভাষা,সালের,ভাষার,ও,এবং
স্পেনীয়দের	আক্রমণে,লেখায়,সাথে,আবির্ভাব
স্পেনীয়রা	সাম্রাজ্যটির,আমেরিকা
স্পেনে	চতুর্থ,বৌদ্ধধর্ম,বেকারত্বের,বর্তমানে,তারা
স্পেনের	রাজধানী,বার্সেলোনায়,একটি,পূর্ব,বৌদ্ধ
স্পেলটি	রিবাউন্ড,ছিল,জেমস,ব্যবহার,লক্ষ্যভ্রষ্ট
স্পেশাল	ফোর্সের,অপারেশন,সিকিউরিটি,হল,ক্যারেক্টারস
স্পেশালিটি	চ্যানেলের,হিসাবে
স্পেস	শাটল,টেলিস্কোপ,এবং,অ্যাডমিনিস্ট্রেশন,টেলিস্কোপের
স্পেসএক্স	ড্রাগন,দ্বারা,সালে,দক্ষিণ,সহ
স্পেসএক্সকে	নাসার,বেছে
স্পেসএক্সের	সিইও,প্রতিষ্ঠাতা,সাথে,মতে,মার্স
স্পেসকে	নয়টি,একটি
স্পেসশিপ	পৃথিবীর,অ্যাডভেঞ্চার,দেখেনি,অবতরণ,মহাকাশের
স্পেসশিপটি	একদল,একটি
স্পেসশিপে	ফিরে,বিভিন্ন,উদ্ভূত,থাকা
স্পেসশিপের	অভ্যন্তরটি,ক্রুরা
স্পেসস্যুট	পরিধান
স্পেসিফিকেশন	এবং,অনুযায়ী,তৈরি,বা,দিতে
স্পেসিফিকেশনের	উপর,মধ্যে,মতো
স্পেসে	একটি,অবতরণ,যোগাযোগ,শব্দগুলিকে,উদ্ভাবন
স্পেসের	পরিমাণ,বা,পূর্ববর্তী,ডিজাইন
স্পোক	এবং,দ্বারা,সহ
স্পোকযুক্ত	চাকা,চাকার
স্পোর্ট	হ,ওয়েবসাইটে,প্রকৃতপক্ষে
স্পোর্টস	কার,রেডিও,খেলার,গাড়ি,পোস্টারগুলিতে
স্পোর্টসের	জন্য
স্পোর্টি	হল,প্রফুল্ল,সর্বোত্তম,সহ
স্পোর্টির	আইকন,কন্ঠ
স্প্যাগেটি	সসের,কার্বোনারা,রান্না,সস,তৈরি
স্প্যাটুলা	ব্যবহার,দিয়ে,বা
স্প্যান	বসানো,বসানোর,হল,বসে,ইত্যাদি
স্প্যানটি	বসানো,খুঁটির,পিলার,সফলভাবে,মুন্সিগঞ্জের
স্প্যানিশ	ভাষায়,অনুবাদ,ফ্লু,খাবারের,শিখতে
স্প্যানের	দৈর্ঘ্য,শেষে,কাঠামো
স্প্যাম	বা,ইমেল,হিসাবে,এবং,ইমেলের
স্প্যামারদের	একটি,দ্বারা
স্প্যামের	উৎস,একটি
স্প্রাইট	মুভ,ব্যবহার
স্প্রাউট	সোশ্যাল,যুক্ত,বা,নিয়ে
স্প্রিগ	পুদিনা,দিয়ে
স্প্রিঙের	একটি,ধারণক্ষমতাকে,রেট,ইঞ্চি,প্রকারভেদঃ
স্প্রে	বা,দিয়ে,এবং,করা,ফোম
স্প্রেড	অপারেটর,সহ,অফ
স্প্রেডশিট	তৈরি,অ্যাপ্লিকেশনে,সহজেই,টেমপ্লেট,কম্পিউটার
স্প্রেডশীট	তৈরি,বা,ব্যবহার,এবং,প্রোগ্রাম
স্প্রেডশীটগুলি	প্রচুর,একাধিক
স্প্রেডশীটগুলির	ব্যবহার,জন্য,আপডেট
স্প্রেডশীটে	কাজ,কলাম
স্প্রেডশীটের	ঘরে,মতো,জন্য
স্প্রেডের	জন্য,সাথে
স্প্লাইস	আছে,ঘটে,সংশোধন
স্প্লিট	হল,করুন,কি,সহ,প্ল্যাটফর্ম
স্প্ল্যাটার	থেকে,প্রতিরোধ
স্প্ল্যাশ	যোগ,দিয়ে,করুন,ক্লাব,সঙ্গে
স্ফটিক	দ্বারা,স্বচ্ছ,থেকে,পদার্থের,জালি
স্ফটিককে	তড়িতায়িত,উদ্দীপ্ত
স্ফটিকগুলি	বৃষ্টিপাত,আগ্নেয়,মসৃণ
স্ফটিকগুলিতে	ঘনীভূত
স্ফটিকসদৃশ	গঠন,কঠিন
স্ফটিকে	পরিণত
স্ফটিকের	ঝলমলে,উপর
স্ফীত	করা,হত্তয়া,হয়েছে,হয়ে,হইয়া
স্ফীতি	উলটাইয়া,তৈরি,দ্বারা,প্রদর্শন,ঘটায়
স্ফুটনাঙ্ক	হল,রয়েছে,প্রায়,থাকে,বায়ুমণ্ডলীয়
স্ফুটনাঙ্কে	উল্লেখযোগ্য,স্থানান্তর,র্যাঙ্ক
স্ফুমাটোর	ব্যবহারের,ব্যবহার,মতো
স্ফুরণ	এবং,ঘটায়
স্ফুলিঙ্গ	ছড়ান,অনুভব,হল,যা,খুঁজে
স্ফুলিঙ্গের	নিচে,প্রয়োজন
স্ব	করা,থেকে,এবং,অঞ্চলে
স্বকামী	ব্যক্তি,পুরুষ
স্বকীয়	বৈশিষ্ট্যের,ও,ছিল,প্যাকেজ,ব্রাউজার
স্বকীয়তা	হিসাবে,ও
স্বগতোক্তি	করা,লিখুন
স্বঘোষিত	সিভিল,গণপ্রজাতন্ত্রী
স্বচ্ছ	এবং,হওয়া,না,জল,পদ্ধতিতে
স্বচ্ছতা	এবং,নিশ্চিত,উন্নত,বাড়ানোর,বাড়াতে
স্বচ্ছতার	সাথে,অভাব,এই,দিকে,জন্য
স্বচ্ছন্দ	করা,হত্তয়া
স্বচ্ছন্দগতিতে	চলা
স্বচ্ছন্দে	প্রবাহিত,বয়ে
স্বচ্ছভাবে	যোগাযোগ,এবং,কাজ,ডেটা,তৈরি
স্বচ্ছলতা	বজায়,বৃদ্ধি
স্বজন	ব্যক্তি,সমবায়ে,প্রীতি
স্বজনদের	আত্মীয়রা,বিচ্ছেদকে,দ্বারা
স্বজ্ঞাত	এবং,নেভিগেশন,ইন্টারফেস,হওয়া,উপায়ে
স্বজ্ঞাতভাবে	করা,চিন্তা,স্থাপন
স্বতঃসিদ্ধ	সত্য,বলে,ব্যাখ্যা,বা,পরিমাপ
স্বতঃস্ফূর্ত	সৃষ্টি,এবং,বিদ্রোহের,নড়াচড়া,কিছু
স্বতঃস্ফূর্তভাবে	একটি,কোলাহল,সঙ্গীত,প্রবাহিত,রাস্তায়
স্বতক্ষরণ	হিসাবে,হয়ে,নিকেল
স্বতন্ত্র	বৈশিষ্ট্য,পার্থক্য,এবং,অ্যাপ্লিকেশন,ধারণা
স্বতন্ত্রতা	যোগ,এবং
স্বতন্ত্রভাবে	সনাক্ত,চিহ্নিত,শিখতে,যা,কাঁকড়া
স্বত্তাধিকারী	বাজারে,হার্ডওয়্যারগুলো
স্বত্ত্বযুক্ত	পদ্ধতিতে,সহায়তা
স্বত্ত্বেও	অদ্যাবধি,শ্রেণীভূক্ত,ম্যান্ডেলা,ক্যাসিনো
স্বত্ব	কিনে,বিচারে,প্রদান,লাভ
স্বত্বাধিকারী	গয়ানাথ,ফেরি
স্বত্বের	অনুভূতি,চাহিদা,বোধ,অনুমোদন,দলিল
স্বদলত্যাগ	করা
স্বদেশে	ফেরার,পুনর্বাসিত,নিরাপদে,প্রত্যাবর্তনের
স্বদেশের	কোণে,দিকে
স্বধর্মত্যাগ	করা,করিয়াছে
স্বন	এবং,বা,সনাক্ত,আরো,উত্সাহী
স্বনামধন্য	উত্স,আর্থিক,অ্যান্টিভাইরাস,ব্রাউজার,সাইটগুলি
স্বনির্ভর	ইকোসিস্টেমে,হওয়ার,ছিল,হয়ে,অর্থনীতির
স্বপক্ষীয়	উকিল
স্বপক্ষে	কোন,আন্দোলনকারীদের,বিভিন্ন,তার
স্বপ্ন	দেখেছিলেন,অনুসরণ,দেখেছিল,ছিল,দেখে
স্বপ্নকে	বাস্তবে,অনুসরণ,কাজ,অর্থায়নে,অনুপ্রাণিত
স্বপ্নগুলি	অনুসরণ,অর্জন,সত্য,আমাদের,সহজেই
স্বপ্নটিকে	বাস্তব
স্বপ্নদ্রষ্টা	ছিলেন,এবং
স্বপ্নময়	পরিবেশের,ল্যান্ডস্কেপ,পরিবেশকে,পরিবেশ,গুণে
স্বপ্নে	আছি,থাকতে,নিজেকে,কোনও,পৌঁছানো
স্বপ্নের	মতো,চাকরি,কথা,একটি,অন্তহীন
স্বভাব	থাকা,বজায়,সত্ত্বেও,এবং
স্বভাবতই	কম,প্রাচীনকালের,আদি,সাহসী
স্বভাববহিভুত	করা
স্বভাবের	জন্য,কারণে,সত্ত্বেও,হলেও,বোন
স্বমেহন	করা
স্বম্পন্ন	পানির,ঘর্ষকপদার্থ
স্বর	এবং,সনাক্ত,প্রতিফলিত,সংখ্যা,বিশ্লেষণ
স্বরকে	ধনাত্মক,ইতিবাচক
স্বরটি	আরও,ইতিবাচক,অনানুষ্ঠানিক,মলিন,বস্তুনিষ্ঠ
স্বরতীক্ষ্ণতা	প্রকৃতপক্ষে,ও
স্বরতীক্ষ্মতা	হল,বা
স্বরধ্বনির	ধরণগুলি,পুনরাবৃত্তি
স্বরনালি	পরীক্ষা,ছ্যাঁদা
স্বরবর্ণ	কিনা,বাদ,তৈরি,রয়েছে,এবং
স্বরবর্ণগুলির	একটি
স্বরবর্ণের	সংখ্যা,সম্মুখীন,একটি,তালিকায়
স্বরবর্ধক	বৃহৎ
স্বরলিপি	একটি,হল,যা,ব্যবহার,এবং
স্বরলিপিতে	রূপান্তর,একটি,সঙ্গীত,উপস্থাপিত,লেখা
স্বরলিপির	মুদ্রিত,অর্থ,ব্যবহার,পরিপ্রেক্ষিতে,ধারণা
স্বরসংযোগ	করা
স্বরসঙ্ঘাতসহ	উচ্চারণ
স্বরাজ্য	দল
স্বরাষ্ট্র	মন্ত্রণালয়ের,বিষয়ক,মন্ত্রীর
স্বরাষ্ট্রমন্ত্রী	বল্লভভাই,আশা
স্বরিত	উচ্চারণচিহ্ন
স্বরূপ	বলা,ভটনাগর,উল্লেখ,নিয়ে,জাতিসংঘ
স্বরে	চিতকার,পড়া,বাজছে,নিম্নলিখিত,এটি
স্বরের	জন্য,উপর,সূক্ষ্ম,সাথে,সেই
স্বর্গ	থেকে,যেখানে,ও,একজনকে,নিজেই
স্বর্গীয়	বস্তু,বস্তুর,শান্তিতে,উত্তর,বিস্ময়
স্বর্গে	তৈরি,উড্ডয়ন,রূপান্তরিত,অবস্থিত,পরিণত
স্বর্গের	ছোট্ট,দিকে,এই,বাকি,প্রধান
স্বর্ণ	অত্যন্ত,সমর্থিত,এবং,হল,জৈবপ্রযুক্তি
স্বর্ণকেশী	বা,চুল,কেশিক,দেখানো,অ্যালিসকে
স্বর্ণপদক	জয়,পান,পেয়েছেন,অর্জন,এবং
স্বর্ণমুদ্রা	দিচ্ছে,হারিয়েছেন
স্বর্ণযুগ	নিয়ে,এবং,পরে,অষ্টম,দেখেনি
স্বর্ণযুগে	একজন,বাস,অভিজাত,যে
স্বর্ণযুগের	সময়,অবসান,সমাপ্তি,চলায়
স্বর্ণের	আইপ্যাড,হৃদয়,ভৌত,মধ্যে,হার
স্বল্প	সময়ের,আয়ের,এবং,মেয়াদে,বেতনের
স্বল্পকাল	সময়ের,বসবাস
স্বল্পকালীন	শাসকদের,ধূমকেতুর
স্বল্পকালের	জন্য,বিস্ময়
স্বল্পতম	পর্যন্ত,সময়ে,অভ্যন্তরীণ
স্বল্পতা	বলতে,প্রায়শই,ও,একটি,ঘটতে
স্বল্পতাকে	সাধারণীকৃত
স্বল্পতার	সাথে,যে,ক্ষেত্রে
স্বল্পবাক্যে	অথবা
স্বল্পমূল্যের	মাইক্রোপ্রসেসর,সাবটাইটেলের,চানাচুর
স্বল্পমেয়াদী	এবং,লক্ষ্যের,বা,উপশমের,ক্ষতি
স্বল্পস্থায়ী	কারণ,সরকারেও,ছিল,চরিত্রে
স্বল্পোন্নত	দেশগুলির,দেশ,বিমানবন্দরের
স্বশস্ত্র	বাহিনী
স্বশাসনের	অনুশীলন,কথা
স্বশাসিত	সংস্থা,প্রশাসনিক,সংস্থাগুলির
স্বশ্রেণীচু্যত	করা
স্বস্তা	হলেও,হওয়ায়
স্বস্তি	এবং,বোধ,ও,অনুভব,পেয়েছেন
স্বস্তিকা	চিহ্ন
স্বস্তিদায়ক	এবং,বৈপরীত্য,কিন্তু,স্নান,স্নানের
স্বস্তির	অনুভূতি,ফেলল,একটি,অশ্রু,বন্যা
স্বহস্তে	লেখা,লিখন
স্বাক্ষর	করে,করা,করেন,করতে,এবং
স্বাক্ষরকারী	দেশগুলির,এবং,নয়,রাষ্ট্রগুলিকে,রাষ্ট্রের
স্বাক্ষরকারীদের	সংখ্যাগরিষ্ঠ,মধ্যেও
স্বাক্ষরগুলির	জন্য,একটি
স্বাক্ষরতার	হার
স্বাক্ষরযুক্ত	খাবারগুলি,পানীয়ের,পানীয়
স্বাক্ষরিত	হয়েছিল,হয়,হয়েছে৷,আইনে,অ্যাপ্লিকেশন
স্বাক্ষরে	আপনার,এবং
স্বাক্ষরের	জন্য,ব্যবহার,পর,মাধ্যমে
স্বাগত	জানানো,জানায়,জানাতে,জানানোর,এবং
স্বাগতম	এবং
স্বাগতিক	দেশগুলিতে,দেশে,দেশগুলিকে,দেশ,শহর
স্বাচ্ছন্দ্য	বোধ,এবং,অঞ্চল,আনতে,যোগ
স্বাচ্ছন্দ্যপূর্ণ	পরিবেশ,অবস্থায়,দৃষ্টিভঙ্গি,মনের,এবং
স্বাচ্ছন্দ্যবোধ	করেন,করে,করি
স্বাচ্ছন্দ্যময়	পরিবেশ,ছিল,শব্দ
স্বাচ্ছন্দ্যে	বসবাস,রাখে,প্রবাহিত,সম্পাদন,বিশেষ
স্বাচ্ছন্দ্যের	সাথে,মূল্যায়ন,জন্য,পরামর্শ,কথা
স্বাতন্ত্র্যসূচক	এবং,শারীরিক
স্বাতন্ত্র্যের	সাথে,একটি
স্বাতী	এবং,সেদিন
স্বাদ	এবং,যোগ,রয়েছে,বর্ণনা,বা
স্বাদকে	হাইলাইট,পরিপূরক,একত্রিত
স্বাদগুলি	একসাথে,মিশে,উদযাপন,বিস্ফোরিত,মেরিনেট
স্বাদটি	তৈরি,সুস্বাদু
স্বাদমতো	লবণ,কালো,লাল,গোলমরিচ,তাজা
স্বাদযুক্ত	হত্তয়া,এবং,খাবার,নুডলসের,নুডলস
স্বাদু	পানির,জলের,দুই
স্বাদে	লবণ,ভরপুর,সমৃদ্ধ,পরিপূর্ণ,ও
স্বাদের	জন্য,সাথে,কুঁড়ি,মধ্যে,হয়
স্বাধিকার	আন্দোলনের,প্রতিষ্ঠার
স্বাধীন	ধারা,এবং,ও,ভেরিয়েবলের,প্রতিক্রিয়া
স্বাধীনচেতা	স্পষ্টবাদী,ও
স্বাধীনতা	এবং,ঘোষণা,যুদ্ধ,যুদ্ধের,ও
স্বাধীনতাকে	আলিঙ্গন,স্বীকৃতি,মূল্য,সীমিত,সমর্থন
স্বাধীনতার	পর,জন্য,ঘোষণাপত্রে,ঘোষণা,ঘোষণাপত্র
স্বাধীনতায়	অবদান,পূর্ণ,কল্পনা,আনন্দ,গর্ভধারণ
স্বাধীনভাবে	কাজ,এবং,সিদ্ধান্ত,বর্ণনা,বা
স্বাভাবিক	ভাষা,করা,এবং,অবস্থায়,করুন
স্বাভাবিককরণ	এবং,করুন,একটি,করা,অন্তর্ভুক্ত
স্বাভাবিককরণের	জন্য,মাধ্যমে,মতো
স্বাভাবিকতা	প্রয়োজন,এবং,ধরে
স্বাভাবিকতার	জন্য,অনুভূতি
স্বাভাবিকভাবে	প্রবাহিত,ঘটে,খেলার,শিখতে,মানুষের
স্বাভাবিকভাবেই	ঘটে,প্রবাহিত,স্যাচুরেটেড,শেখা,একটি
স্বাভাবিকীকরণ	বা,হল,দূরবর্তী
স্বাভাবিকীকরণের	জন্য,সুবিধা
স্বাভাবিকের	চেয়ে,সাথে,মতো,প্রতিষ্ঠা
স্বামী	মারা,পিয়েরে,জর্জ,তার,রেভারেন্ড
স্বামীকে	ছেড়ে,ভালবাসে,গুলি,নিয়ে,রেখে
স্বামীদের	শাস্তি,চিরায়ত,নিয়ন্ত্রণ,প্রতি,তাদের
স্বামীর	সাথে,মৃত্যুর,অসুস্থতার,চিতায়,কাছ
স্বার্থ	এবং,গোষ্ঠী,রক্ষা,রক্ষার,সংরক্ষণ
স্বার্থকে	প্রতিফলিত,প্রচার,সম্বোধন,এগিয়ে
স্বার্থপর	এবং,নয়,ছিলেন,পিতামাতারা,ছিল
স্বার্থবাদী	গোষ্ঠী,বুর্জোয়া
স্বার্থে	একটি,কাজ,সিদ্ধান্ত,সময়োপযোগী,ব্যক্তিগত
স্বার্থের	জন্য,প্রতিনিধিত্ব,পক্ষে,দ্বন্দ্ব,ভারসাম্য
স্বাস	পাত্তয়া
স্বাস্থ্য	এবং,সমস্যা,ও,বজায়,সুবিধা
স্বাস্থ্যকর	এবং,চর্বি,খাবার,জীবনধারা,ওজন
স্বাস্থ্যকরভাবে	খাওয়া,খাওয়ার,খেতে,খান
স্বাস্থ্যকে	প্রভাবিত,নেতিবাচকভাবে,সমর্থন,উন্নত,অগ্রাধিকার
স্বাস্থ্যকেও	হুমকির,উন্নীত
স্বাস্থ্যগত	প্রভাব,অবস্থার,কারণে,অবস্থা,সমস্যা
স্বাস্থ্যঝুঁকি	ছাড়াও,থেকেই
স্বাস্থ্যবান	করবে,হতে
স্বাস্থ্যবিধি	অনুশীলন,আইটেম,আচরণ,ত্বকের,দ্বারা
স্বাস্থ্যবিধির	জন্য,কারণে,অধিকার
স্বাস্থ্যসেবা	এবং,প্রদানকারীদের,ব্যবস্থার,পেশাদারদের,উন্নত
স্বাস্থ্যসেবাকে	আরও,উপকৃত,রূপান্তরিত,অনেক,রূপান্তর
স্বাস্থ্যসেবাতে	এর,কৃত্রিম,ব্যবহারের,ব্যবহার,অ্যাপ্লিকেশনগুলির
স্বাস্থ্যসেবার	অ্যাক্সেস,খরচ,ক্ষেত্রে,অ্যাক্সেসের,মতো
স্বাস্থ্যসেবায়	বিপ্লব,কৃত্রিম,ব্যবহার,এর,ব্যবহৃত
স্বাস্থ্যে	অবদান,রাখে,সহায়তা,লক্ষণীয়ভাবে
স্বাস্থ্যের	উপর,উন্নতি,জন্য,অবস্থার,ফলাফলের
স্বায়ত্তশাসন	এবং,প্রদান,ভোগ,সহ,উপভোগ
স্বায়ত্তশাসনকে	সম্মান,মূল্য,অন্তর্ভুক্ত,চিত্রিত
স্বায়ত্তশাসনের	একটি,সমর্থক,ক্ষতি,সাথে,স্তরের
স্বায়ত্তশাসিত	যানবাহন,যানবাহনের,যানবাহনগুলি,রোবটের,সিস্টেম
স্বায়ত্তশাসিতভাবে	কাজ,কাজগুলি,যোগাযোগ,বা,পরিচালনা
স্বায়ত্বশাসিত	গবেষণা,প্রতিষ্ঠান,সংস্থার,কর্তৃপক্ষ
স্বীকার	করে,করা,করতে,করেন,করেছেন
স্বীকারোক্তি	হিসাবে,দানে,শোনেন,আদায়কারী
স্বীকৃত	এবং,হয়,নয়,ও,হয়েছে
স্বীকৃতি	এবং,দেয়,দেওয়া,লাভ,দিয়ে
স্বীকৃতিও	আদায়,দেওয়া
স্বীকৃতিতে	বিশেষজ্ঞ,অবিশ্বাস্য,এর,সুপারিশমালা
স্বীকৃতির	মতো,জন্য,বাইরে,একটি,প্রয়োজন
স্বীকৃতিস্বরূপ	সালে,জনেরও,পুরস্কৃত,উইলিয়াম,তাকে
স্বীয়	মত,প্রতিমূর্তির,ক্ষমতাবলে,ক্ষমতা,শর্তাধীনে
স্বেচ্ছাচারী	হিসাবে,কারণের,শাসনে,এবং,বঞ্চনা
স্বেচ্ছাসেবক	হিসেবে,হন,বা,ব্যবস্থাপনা,একটি
স্বেচ্ছাসেবকতা	গুরুত্বপূর্ণ,বিভিন্ন,একজনের,আমাদেরকে,সম্প্রদায়ের
স্বেচ্ছাসেবকদের	কঠোর,উপর,সাথে,সম্পৃক্ততার,সংগঠনের
স্বেচ্ছাসেবকরা	বেলুনগুলিকে,প্রয়োজনে,তারপরে,প্রায়শই,এমন
স্বেচ্ছাসেবকের	নাম,শক্তিশালী,সাথে,কাজ
স্বেচ্ছাসেবী	নতুন,করার,মূল্যবান,সম্পাদক,মূল্য
স্বেচ্ছাসেবীর	মাধ্যমে,মতো,মতে
স্বেচ্ছাসেবীরা	চিকিৎসা,সালের,উদ্যান
স্বেচ্ছায়	রাজী,তার,সময়,তালিকাভুক্তির,অংশগ্রহণ
স্বৈরশাসক	ফুলজেনসিও,বেনিটো,হুসেইন,হিসেবে,ইয়াহিয়া
স্বৈরশাসকের	অর্থনীতি,চরিত্রে
স্বৈরাচার	নিপাত,বিরোধী
স্বৈরাচারী	শাসনকে,শক্তি,সরকারগুলির,সরকারকে,হিসাবে
স্বয়ং	একটি,ফেরত,সংখ্যা,তাঁরা,বিয়ের
স্বয়ংক্রিয়	করতে,করে,করার,করা,সিস্টেম
স্বয়ংক্রিয়করণ	নিশ্চিত,সহ,নিয়ন্ত্রণ
স্বয়ংক্রিয়করণের	অনুমতি,কিছু,বিষয়টি
স্বয়ংক্রিয়তা	ন্যূনতম,অনেক,উল্লেখযোগ্য,এবং,সক্ষম
স্বয়ংক্রিয়ভাবে	একটি,ডেটা,তাপমাত্রা,সামঞ্জস্য,পরিচালনা
স্বয়ংচল	যন্ত্র
স্বয়ংচালিত	ন্যাভিগেশন,শিল্পের,এবং,কোম্পানি,উত্পাদন
স্বয়ংলিখ	তাপমাপক
স্বয়ংসম্পূর্ণ	পরামর্শ,হয়ে,এবং,বৈশিষ্ট্য,সিস্টেম
স্বয়ংসম্পূর্ণতা	অর্জন,বৈশিষ্ট্যের,প্রচার,কেন্দ্রিক,অর্জনের
স্বয়ংসম্পূর্ণতার	বিকাশকে,বিষয়ে,দিকে
স্মরণ	করা,করিয়ে,করতে,করে,এবং
স্মরণাতীত	কাল,এর
স্মরণীয়	করে,এবং,হয়ে,অভিজ্ঞতা,লোগো
স্মরণে	হস্তক্ষেপ,তৈরি,সংগঠিত,পালিত,বঙ্গবন্ধু
স্মরণের	সুরেলা,একটি,জন্য,হারমোনিক,মধ্যে
স্মারক	পুরস্কার,হিসাবে,নির্মাণ,কাঠামোগুলি,কাঠামো
স্মারকলিপি	প্রেরণ
স্মার্ট	হোম,এবং,থার্মোস্ট্যাট,স্পিকার,শহর
স্মার্টওয়াচ	এবং,যা,ইত্যাদি,অন্তর্ভুক্ত
স্মার্টওয়াচের	মতো,জন্য,বাজারে,সাথে
স্মার্টফোন	এবং,বা,ব্যবহার,সহ,যা
স্মার্টফোনকে	তিনবার,একটি,সেরা
স্মার্টফোনগুলি	আমাদের,তাদের,মানুষের,শুধুমাত্র,ডাউনলোডযোগ্য
স্মার্টফোনগুলিকে	বিলাসবহুল,গ্রাহকদের,সহজে,শক্তিশালী
স্মার্টফোনগুলিতে	বিভিন্ন,ফিঙ্গারপ্রিন্ট
স্মার্টফোনগুলির	ক্রমবর্ধমান,সর্বশেষ
স্মার্টফোনটি	শুধু,বৈদ্যুতিক,প্রদর্শন,এর,ইতিমধ্যেই
স্মার্টফোনটিকে	একটি
স্মার্টফোনে	অন্তর্নির্মিত,সতর্কতা,দুর্দান্ত,সাধারণত,ঘন
স্মার্টফোনের	জন্য,মতো,মাধ্যমে,ব্যাপক,সাথে
স্মার্টবুক	হল,একটি
স্মার্টবুকে	একটি
স্মার্টভাবে	কেনাকাটা
